Company,File No,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Anthem Health Plans, Inc",{'': 7049538},2022-11-17,2023-03-20,A & H,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051426},2023-02-06,2023-03-20,Group,A & H,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,Group,Dental,Claim Handling,Claim Delays,Claim Settled,Voluntary Reconsideration,231.0,Closed
Cigna Health and Life Insurance Company,{'': 7042660},2022-02-03,2022-04-11,A & H,A & H,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,320.0,Closed
Cigna Health and Life Insurance Company,{'': 7042660},2022-02-03,2022-04-11,Group,A & H,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,320.0,Closed
Cigna Health and Life Insurance Company,{'': 7042660},2022-02-03,2022-04-11,A & H,Dental,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,320.0,Closed
Cigna Health and Life Insurance Company,{'': 7042660},2022-02-03,2022-04-11,Group,Dental,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,320.0,Closed
Cigna Health and Life Insurance Company,{'': 7043420},2022-03-01,2022-04-04,Group,Dental,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid With Interest,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7043420},2022-03-01,2022-04-04,Group,Dental,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid With Interest,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042396},2022-01-25,2022-03-25,A & H,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042396},2022-01-25,2022-03-25,Group,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042396},2022-01-25,2022-03-25,A & H,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042396},2022-01-25,2022-03-25,Group,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042396},2022-01-25,2022-03-25,A & H,Dental,Claim Handling,Provider Contract Issue,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042396},2022-01-25,2022-03-25,Group,Dental,Claim Handling,Provider Contract Issue,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042396},2022-01-25,2022-03-25,A & H,Dental,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042396},2022-01-25,2022-03-25,Group,Dental,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042560},2022-02-01,2022-03-02,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,12011.0,Closed
Cigna Health and Life Insurance Company,{'': 7042560},2022-02-01,2022-03-02,Group,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,12011.0,Closed
Cigna Health and Life Insurance Company,{'': 7042560},2022-02-01,2022-03-02,A & H,Dental,Claim Handling,Claim Delays,Claim Settled,Claim Paid,12011.0,Closed
Cigna Health and Life Insurance Company,{'': 7042560},2022-02-01,2022-03-02,Group,Dental,Claim Handling,Claim Delays,Claim Settled,Claim Paid,12011.0,Closed
Cigna Health and Life Insurance Company,{'': 7041241},2021-12-02,2022-01-03,A & H,A & H,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,303.36,Closed
Cigna Health and Life Insurance Company,{'': 7041241},2021-12-02,2022-01-03,Group,A & H,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,303.36,Closed
Cigna Health and Life Insurance Company,{'': 7041241},2021-12-02,2022-01-03,A & H,Health Only,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,303.36,Closed
Cigna Health and Life Insurance Company,{'': 7041241},2021-12-02,2022-01-03,Group,Health Only,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,303.36,Closed
Cigna Health and Life Insurance Company,{'': 7041753},2021-12-29,2022-01-18,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,1181.0,Closed
Cigna Health and Life Insurance Company,{'': 7041753},2021-12-29,2022-01-18,Group,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,1181.0,Closed
Cigna Health and Life Insurance Company,{'': 7041753},2021-12-29,2022-01-18,A & H,A & H,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid,1181.0,Closed
Cigna Health and Life Insurance Company,{'': 7041753},2021-12-29,2022-01-18,Group,A & H,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid,1181.0,Closed
Cigna Health and Life Insurance Company,{'': 7041753},2021-12-29,2022-01-18,A & H,Dental,Claim Handling,Claim Delays,Claim Settled,Claim Paid,1181.0,Closed
Cigna Health and Life Insurance Company,{'': 7041753},2021-12-29,2022-01-18,Group,Dental,Claim Handling,Claim Delays,Claim Settled,Claim Paid,1181.0,Closed
Cigna Health and Life Insurance Company,{'': 7041753},2021-12-29,2022-01-18,A & H,Dental,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid,1181.0,Closed
Cigna Health and Life Insurance Company,{'': 7041753},2021-12-29,2022-01-18,Group,Dental,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid,1181.0,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid With Interest,3826.7,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,3743.34,Closed
"Anthem Health Plans, Inc",{'': 7049689},2022-11-28,2023-01-25,Individual,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7053319},2023-04-11,2023-05-03,Group,Health Only,Claim Handling,Provider Contract Issue,Company Position Overturned,Provider Issue,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,Health Only,Claim Handling,Claim Delay,Claim Settled,Provider Issue,3826.7,Closed
UnitedHealthcare Insurance Company,{'': 7049656},2022-11-23,2023-01-25,Group,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Provider Issue,3826.7,Closed
Cigna Health and Life Insurance Company,{'': 7041921},2022-01-06,2022-02-22,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7040927},2021-11-16,2021-12-28,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1627.79,Closed
Cigna Health and Life Insurance Company,{'': 7040927},2021-11-16,2021-12-28,Group,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1627.79,Closed
Cigna Health and Life Insurance Company,{'': 7040927},2021-11-16,2021-12-28,A & H,Dental,Claim Handling,Denial,Claim Settled,Claim Paid,1627.79,Closed
Cigna Health and Life Insurance Company,{'': 7040927},2021-11-16,2021-12-28,Group,Dental,Claim Handling,Denial,Claim Settled,Claim Paid,1627.79,Closed
Cigna Health and Life Insurance Company,{'': 7041150},2021-11-26,2022-01-03,A & H,A & H,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7041150},2021-11-26,2022-01-03,Group,A & H,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7041150},2021-11-26,2022-01-03,A & H,Dental,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7041150},2021-11-26,2022-01-03,Group,Dental,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7043654},2022-03-09,2022-04-21,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Provider Issue,3826.7,Closed
"ConnectiCare Benefits, Inc.",{'': 7045316},2022-05-18,2022-06-14,Individual,Health Only,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7043036},2022-02-15,2022-05-10,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,A & H,Claim Handling,Eligibility of Provider,Claim Settled,Provider Issue,3826.7,Closed
"ConnectiCare Benefits, Inc.",{'': 7045316},2022-05-18,2022-06-14,Individual,Health Exchange,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,3826.7,Closed
"ConnectiCare Benefits, Inc.",{'': 7045316},2022-05-18,2022-06-14,A & H,A & H,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7045292},2022-05-17,2022-06-14,A & H,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,1978.62,Closed
"ConnectiCare Benefits, Inc.",{'': 7045316},2022-05-18,2022-06-14,A & H,Exchange,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7044184},2022-04-05,2022-05-03,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,51.02,Closed
"ConnectiCare Insurance Company, Inc",{'': 7045292},2022-05-17,2022-06-14,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1978.62,Closed
"ConnectiCare Insurance Company, Inc",{'': 7045292},2022-05-17,2022-06-14,Group,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1978.62,Closed
"ConnectiCare Benefits, Inc.",{'': 7045316},2022-05-18,2022-06-14,Individual,A & H,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7045316},2022-05-18,2022-06-14,A & H,Health Exchange,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049689},2022-11-28,2023-01-25,A & H,A & H,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7045316},2022-05-18,2022-06-14,Individual,Exchange,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7045292},2022-05-17,2022-06-14,Group,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,1978.62,Closed
"ConnectiCare Benefits, Inc.",{'': 7045316},2022-05-18,2022-06-14,A & H,Health Only,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7044184},2022-04-05,2022-05-03,Group,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,51.02,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,A & H,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid,3743.34,Closed
Cigna Health and Life Insurance Company,{'': 7044184},2022-04-05,2022-05-03,A & H,Health Only,Claim Handling,Claim Delays,Claim Settled,Claim Paid,51.02,Closed
Cigna Health and Life Insurance Company,{'': 7044184},2022-04-05,2022-05-03,Group,Health Only,Claim Handling,Claim Delays,Claim Settled,Claim Paid,51.02,Closed
"Anthem Health Plans, Inc",{'': 7050036},2022-12-12,2022-12-14,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,Health Only,Claim Handling,Claim Delays,Claim Settled,Claim Paid With Interest,3826.7,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,Individual,Health Only,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7043626},2022-03-08,2022-05-02,Group,Health Only,Claim Handling,Unsatisfactory Settlement,Claim Settled,Additional Money Received,634.23,Closed
"Anthem Health Plans, Inc",{'': 7049229},2022-11-08,2022-12-14,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7043626},2022-03-08,2022-05-02,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Additional Money Received,634.23,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,A & H,Claim Handling,Claim Delay,Claim Settled,Provider Issue,3826.7,Closed
Cigna Health and Life Insurance Company,{'': 7043662},2022-03-09,2022-03-30,Group,Dental,Claim Handling,Claim Delays,Claim Settled,Claim Paid,565.5,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid With Interest,3826.7,Closed
"Anthem Health Plans, Inc",{'': 7045552},2022-05-27,2022-06-16,Individual,Exchange,Claim Handling,Eligibility of Provider,Company Position Substantiated,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7044570},2022-04-21,2022-05-16,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045587},2022-05-31,2022-06-16,A & H,Exchange,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045587},2022-05-31,2022-06-16,Individual,Dental,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045552},2022-05-27,2022-06-16,Individual,Health Exchange,Claim Handling,Eligibility of Provider,Company Position Substantiated,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7045295},2022-05-17,2022-06-16,Group,A & H,Claim Handling,Eligibility of Provider,Claim Settled,Satisfied,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044621},2022-04-22,2022-06-16,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044621},2022-04-22,2022-06-16,A & H,Exchange,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044621},2022-04-22,2022-06-16,Individual,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7045295},2022-05-17,2022-06-16,A & H,Dental,Claim Handling,Eligibility of Provider,Claim Settled,Satisfied,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7045295},2022-05-17,2022-06-16,A & H,Dental,Claim Handling,Claim Handling Other,Claim Settled,Satisfied,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7045295},2022-05-17,2022-06-16,Group,A & H,Claim Handling,Claim Handling Other,Claim Settled,Satisfied,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044621},2022-04-22,2022-06-16,A & H,Exchange,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045587},2022-05-31,2022-06-16,A & H,Dental,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045552},2022-05-27,2022-06-16,Individual,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7045295},2022-05-17,2022-06-16,Group,Dental,Claim Handling,Eligibility of Provider,Claim Settled,Satisfied,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,A & H,A & H,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044621},2022-04-22,2022-06-16,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045587},2022-05-31,2022-06-16,Individual,Dental Exchange,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044621},2022-04-22,2022-06-16,Individual,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044621},2022-04-22,2022-06-16,Individual,Exchange,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
